Max_Weight,Min_Weight,Mean_Fitness
17.0,17.0,1293.1504246717973
17.0,17.0,1290.742499186384
17.0,17.0,1290.055074606223
17.0,17.0,1288.834183323019
17.0,17.0,1288.6349201271946
17.0,17.0,1285.6578772153728
17.0,17.0,1289.0158436850327
17.0,17.0,1282.5486481745709
17.0,17.0,1291.6008978979112
17.0,17.0,1286.503549478962
17.0,17.0,1286.836108879925
17.0,17.0,1283.0909617805107
17.0,17.0,1277.2419357607564
17.0,17.0,1280.8959741656738
17.0,17.0,1281.9748501233134
17.0,17.0,1282.9268339645096
17.0,17.0,1283.4771309069076
17.0,17.0,1280.1618565208666
17.0,17.0,1278.97522543855
17.0,17.0,1276.750224402862
17.0,17.0,1280.7405241408262
17.0,17.0,1276.6182413070778
17.0,17.0,1280.9485255964523
17.0,17.0,1274.2452068945483
17.0,17.0,1281.8355277725652
17.0,17.0,1274.5210313008768
17.0,17.0,1277.1269861647943
17.0,17.0,1279.1637391217782
17.0,17.0,1278.2660884848021
17.0,17.0,1273.5408136200954
17.0,17.0,1270.3113130139784
17.0,17.0,1273.6146380575717
17.0,17.0,1271.497798670701
17.0,17.0,1264.452432612272
17.0,17.0,1272.718925981709
17.0,17.0,1274.660652315474
17.0,17.0,1269.0253209451864
17.0,17.0,1266.182073164546
17.0,17.0,1271.6627100722542
17.0,17.0,1273.5581576936345
17.0,17.0,1268.2159032617294
17.0,17.0,1267.1695165413194
17.0,17.0,1261.2669249814285
17.0,17.0,1263.8223056567688
17.0,17.0,1267.088739526545
17.0,17.0,1266.6670168799235
17.0,17.0,1267.0818460734295
17.0,17.0,1264.300869887103
17.0,17.0,1259.5415209743767
17.0,17.0,1263.9573884219326
17.0,17.0,1264.5438709068142
17.0,17.0,1261.939917788873
17.0,17.0,1259.3691708783635
17.0,17.0,1264.5194487222088
17.0,17.0,1262.317441341666
17.0,17.0,1257.2593341237139
17.0,17.0,1261.0228274927465
17.0,17.0,1260.033447879029
17.0,17.0,1255.5487007225845
17.0,17.0,1260.3953301714268
17.0,17.0,1254.0849030775028
17.0,17.0,1262.1742930328617
17.0,17.0,1252.8967489540664
17.0,17.0,1252.4480624869261
17.0,17.0,1252.3655191501375
17.0,17.0,1251.86396521299
17.0,17.0,1254.2343043728076
17.0,17.0,1247.362942370931
17.0,17.0,1251.5324968217067
17.0,17.0,1243.6864648458873
17.0,17.0,1247.7052319405554
17.0,17.0,1247.1293225207876
17.0,17.0,1252.0919479105273
17.0,17.0,1255.880472474386
17.0,17.0,1248.1463648406013
17.0,17.0,1246.0645168351828
17.0,17.0,1243.5181672879346
17.0,17.0,1245.5925487025083
17.0,17.0,1246.9949730788292
17.0,17.0,1250.5040923493634
17.0,17.0,1245.4224735703174
17.0,17.0,1249.7630874692068
17.0,17.0,1248.2995114517387
17.0,17.0,1239.8472615508858
17.0,17.0,1238.197347766054
17.0,17.0,1244.3107368791311
17.0,17.0,1241.0520345278671
17.0,17.0,1237.809278069135
17.0,17.0,1235.1302504419552
17.0,17.0,1244.20204236575
17.0,17.0,1238.6377336186376
